Date,Open,High,Low,Close,Adj Close,Volume
2024-08-13,4700.0,4750.0,4690.0,4720.0,4720.0,109533400
2024-08-14,4770.0,4840.0,4760.0,4820.0,4820.0,262716500
2024-08-15,4850.0,4870.0,4790.0,4830.0,4830.0,214394900
2024-08-16,4850.0,4870.0,4830.0,4830.0,4830.0,149701700
2024-08-19,4820.0,4820.0,4750.0,4820.0,4820.0,196203200
2024-08-20,4860.0,4950.0,4840.0,4950.0,4950.0,310085500
2024-08-21,4990.0,5100.0,4980.0,5100.0,5100.0,390307000
2024-08-22,5125.0,5150.0,5025.0,5050.0,5050.0,474043100
2024-08-23,5150.0,5200.0,5125.0,5150.0,5150.0,217759300
2024-08-26,5200.0,5325.0,5200.0,5300.0,5300.0,361169800
2024-08-27,5250.0,5275.0,5100.0,5175.0,5175.0,271088700
2024-08-28,5100.0,5175.0,5025.0,5150.0,5150.0,277561700
2024-08-29,5125.0,5175.0,5100.0,5125.0,5125.0,160041900
2024-08-30,5175.0,5175.0,5125.0,5150.0,5150.0,275298000
2024-09-02,5150.0,5225.0,5150.0,5175.0,5175.0,136717200
2024-09-03,5225.0,5250.0,5150.0,5175.0,5175.0,166033900
2024-09-04,5100.0,5175.0,5100.0,5100.0,5100.0,141890400
2024-09-05,5125.0,5150.0,5075.0,5150.0,5150.0,166436800
2024-09-06,5200.0,5250.0,5150.0,5225.0,5225.0,170520700
2024-09-09,5275.0,5300.0,5150.0,5175.0,5175.0,201448700
2024-09-10,5200.0,5250.0,5125.0,5250.0,5250.0,202326400
2024-09-11,5225.0,5250.0,5125.0,5175.0,5175.0,165284900
2024-09-12,5175.0,5225.0,5150.0,5175.0,5175.0,138542100
2024-09-13,5200.0,5275.0,5175.0,5275.0,5275.0,142710300
